iter	RMSE
0	233.1443865
1	225.6250105
2	218.2590983
3	211.0024504
4	204.8136018
5	198.3045985
6	191.8253893
7	185.9321089
8	180.1945852
9	174.2394917
10	168.7522151
11	163.6790661
12	158.8405376
13	153.8339787
14	149.0906608
15	144.6506243
16	139.9264481
17	135.5668645
18	131.4125657
19	127.5083877
20	123.4073271
21	119.6834673
22	115.8811223
23	112.2697445
24	108.9345903
25	105.5673348
26	102.309472
27	99.28935344
28	96.60480184
29	93.70454996
30	90.88500528
31	88.13280724
32	85.54854637
33	83.01667905
34	80.60164756
35	78.32417519
36	76.07458077
37	74.07218871
38	71.90860738
39	69.91941181
40	68.06945412
41	66.1461645
42	64.55228762
43	62.79332949
44	61.16014353
45	59.55208983
46	58.04830256
47	56.47246071
48	55.04814162
49	53.62777755
50	52.33867235
51	51.13464872
52	49.86053062
53	48.626681
54	47.32698071
55	46.15601777
56	45.07475634
57	43.91864508
58	42.94997502
59	41.99160949
60	40.93067757
61	40.01741504
62	39.19798682
63	38.31677502
64	37.51148514
65	36.72417636
66	35.9010271
67	35.11694728
68	34.50525727
69	33.89279624
70	33.140599
71	32.34114584
72	31.67852434
73	31.09028789
74	30.52449623
75	29.88471641
76	29.33984219
77	28.76857425
78	28.21933011
79	27.67190685
80	27.15652419
81	26.74473724
82	26.33643941
83	25.92432971
84	25.53752155
85	25.17025038
86	24.8108048
87	24.42654019
88	24.08398027
89	23.71095234
90	23.40320599
91	23.08304566
92	22.78058485
93	22.50819553
94	22.24624665
95	22.02053127
96	21.82994197
97	21.55621547
98	21.29954621
99	21.03542477
100	20.829511
101	20.62518536
102	20.43373107
103	20.22098061
104	20.00531246
105	19.80384646
106	19.56600828
107	19.36980009
108	19.23398354
109	19.05207492
110	18.87371894
111	18.70574037
112	18.55091014
113	18.3986344
114	18.25204582
115	18.09070214
116	17.94565008
117	17.80442658
118	17.68701165
119	17.55171304
120	17.43419162
121	17.34488996
122	17.21091851
123	17.06351091
124	16.93752656
125	16.84455735
126	16.74586497
127	16.62482465
128	16.53160328
129	16.4263129
130	16.34276181
131	16.24176522
132	16.13922086
133	16.03659902
134	15.95172664
135	15.83037899
136	15.7388395
137	15.63836232
138	15.55954937
139	15.48250915
140	15.40287358
141	15.30860474
142	15.21520576
143	15.11756674
144	15.0386404
145	14.9518928
146	14.88445628
147	14.82798512
148	14.74616247
149	14.66465377
150	14.5913236
151	14.49786102
152	14.40214557
153	14.32801301
154	14.26816441
155	14.16493695
156	14.1176067
157	14.03817654
158	13.98240656
159	13.92467551
160	13.87467651
161	13.80022529
162	13.74967138
163	13.68520967
164	13.64146903
165	13.57075505
166	13.49746415
167	13.45613977
168	13.41915393
169	13.32342572
170	13.26312571
171	13.22110144
172	13.16050771
173	13.10428065
174	13.05594744
175	13.01722294
176	12.9353167
177	12.88552374
178	12.81855199
179	12.75410349
180	12.69643504
181	12.6628405
182	12.60867851
183	12.54256783
184	12.48401146
185	12.45418317
186	12.40856413
187	12.36713552
188	12.30057966
189	12.22788886
190	12.16121056
191	12.13013104
192	12.06981798
193	12.01833728
194	11.98432445
195	11.94487652
