iter	Passed	Remaining
0	5	5391
1	9	4893
2	14	4709
3	18	4633
4	23	4626
5	27	4581
6	32	4563
7	36	4536
8	41	4546
9	46	4556
10	50	4527
11	54	4520
12	59	4512
13	64	4513
14	68	4518
15	73	4501
16	77	4501
17	82	4492
18	87	4493
19	91	4488
20	96	4479
21	100	4466
22	105	4471
23	109	4462
24	114	4461
25	118	4451
26	123	4446
27	127	4441
28	132	4432
29	137	4430
30	141	4421
31	145	4413
32	150	4405
33	154	4401
34	159	4400
35	164	4400
36	168	4395
37	173	4390
38	178	4386
39	182	4377
40	188	4400
41	193	4411
42	197	4402
43	202	4405
44	207	4404
45	212	4398
46	216	4398
47	221	4392
48	225	4384
49	230	4376
50	235	4378
51	239	4368
52	243	4356
53	248	4351
54	252	4346
55	257	4341
56	262	4336
57	266	4330
58	271	4326
59	275	4319
60	280	4315
61	284	4310
62	289	4305
63	293	4299
64	298	4298
65	303	4291
66	307	4288
67	312	4282
68	316	4276
69	321	4267
70	325	4261
71	330	4254
72	334	4248
73	338	4241
74	343	4235
75	348	4234
76	352	4230
77	357	4228
78	362	4222
79	366	4217
80	372	4226
81	377	4229
82	382	4222
83	386	4219
84	391	4215
85	396	4213
86	401	4208
87	405	4202
88	410	4197
89	414	4191
90	418	4184
91	423	4178
92	427	4173
93	432	4168
94	437	4163
95	441	4157
96	445	4151
97	450	4147
98	455	4142
99	459	4138
100	464	4133
101	469	4129
102	473	4126
103	478	4122
104	483	4117
105	487	4112
106	492	4108
107	496	4101
108	501	4095
109	505	4090
110	509	4083
111	514	4078
112	519	4074
113	523	4069
114	528	4067
115	533	4063
116	538	4065
117	543	4065
118	548	4061
119	554	4067
120	560	4072
121	566	4074
122	570	4070
123	575	4067
124	580	4062
125	584	4057
126	589	4054
127	594	4049
128	599	4044
129	603	4041
130	609	4041
131	614	4043
132	620	4044
133	625	4040
134	630	4037
135	634	4032
136	639	4028
137	643	4022
138	648	4017
139	654	4018
140	659	4015
141	663	4011
142	668	4008
143	673	4004
144	678	4000
145	683	3996
146	688	3993
147	693	3989
148	697	3985
149	702	3982
150	707	3978
151	712	3973
152	716	3969
153	721	3964
154	726	3959
155	730	3954
156	736	3952
157	740	3948
158	745	3945
159	750	3939
160	756	3940
161	760	3936
162	765	3930
163	770	3928
164	775	3924
165	780	3919
166	785	3916
167	790	3912
168	794	3907
169	800	3906
170	805	3904
171	810	3900
172	815	3897
173	820	3894
174	825	3889
175	829	3885
176	834	3881
177	839	3876
178	844	3871
179	849	3868
180	854	3865
181	858	3860
182	863	3856
183	868	3852
184	873	3846
185	877	3841
186	882	3836
187	887	3831
188	891	3826
189	896	3822
190	901	3819
191	906	3815
192	911	3810
193	917	3810
194	922	3808
195	928	3807
196	932	3803
197	938	3801
198	943	3796
199	948	3792
200	952	3787
201	957	3782
202	962	3777
203	967	3773
204	971	3768
205	976	3764
206	981	3761
207	986	3757
208	991	3753
209	996	3749
210	1001	3744
211	1006	3739
212	1011	3736
213	1015	3731
214	1020	3726
215	1025	3723
216	1030	3718
217	1035	3714
218	1040	3709
219	1045	3705
220	1050	3701
221	1054	3696
222	1059	3691
223	1064	3686
224	1068	3680
225	1073	3675
226	1077	3669
227	1082	3664
228	1087	3660
229	1093	3660
230	1098	3657
231	1103	3652
232	1108	3649
233	1113	3646
234	1118	3641
235	1123	3637
236	1128	3632
237	1133	3627
238	1137	3622
239	1142	3618
240	1147	3613
241	1152	3608
242	1157	3604
243	1162	3600
244	1167	3596
245	1171	3591
246	1176	3587
247	1181	3582
248	1186	3577
249	1191	3574
250	1196	3569
251	1200	3564
252	1205	3560
253	1210	3554
254	1214	3549
255	1219	3545
256	1224	3539
257	1229	3534
258	1233	3529
259	1237	3523
260	1242	3517
261	1247	3512
262	1251	3507
263	1256	3502
264	1260	3496
265	1265	3492
266	1270	3487
267	1275	3482
268	1280	3480
269	1286	3477
270	1291	3472
271	1295	3467
272	1300	3462
273	1305	3457
274	1309	3452
275	1314	3448
276	1319	3443
277	1323	3437
278	1328	3432
279	1332	3426
280	1336	3420
281	1341	3415
282	1346	3411
283	1351	3406
284	1355	3401
285	1360	3396
286	1364	3390
287	1369	3386
288	1374	3382
289	1379	3377
290	1384	3372
291	1388	3366
292	1393	3361
293	1397	3356
294	1402	3352
295	1407	3346
296	1411	3340
297	1416	3335
298	1420	3330
299	1424	3324
300	1429	3319
301	1433	3314
302	1438	3308
303	1442	3302
304	1447	3297
305	1451	3292
306	1456	3287
307	1460	3282
308	1465	3278
309	1471	3274
310	1475	3269
311	1480	3265
312	1485	3259
313	1489	3254
314	1494	3250
315	1499	3245
316	1503	3240
317	1508	3236
318	1513	3231
319	1518	3226
320	1523	3222
321	1528	3217
322	1532	3212
323	1536	3206
324	1541	3201
325	1545	3196
326	1550	3190
327	1555	3185
328	1559	3180
329	1564	3175
330	1568	3170
331	1573	3165
332	1578	3161
333	1583	3157
334	1588	3153
335	1593	3149
336	1599	3145
337	1603	3141
338	1608	3135
339	1613	3131
340	1617	3126
341	1622	3121
342	1627	3117
343	1631	3112
344	1636	3106
345	1641	3101
346	1646	3098
347	1651	3093
348	1655	3088
349	1661	3085
350	1667	3082
351	1671	3077
352	1676	3073
353	1681	3068
354	1686	3063
355	1690	3058
356	1695	3053
357	1700	3049
358	1704	3044
359	1709	3039
360	1714	3034
361	1719	3030
362	1724	3025
363	1728	3020
364	1733	3015
365	1737	3010
366	1742	3005
367	1747	3001
368	1752	2996
369	1757	2991
370	1761	2987
371	1766	2982
372	1771	2977
373	1776	2972
374	1780	2968
375	1785	2963
376	1790	2958
377	1794	2953
378	1799	2948
379	1804	2944
380	1809	2940
381	1814	2935
382	1819	2930
383	1824	2927
384	1829	2922
385	1834	2917
386	1840	2914
387	1845	2910
388	1849	2905
389	1855	2902
390	1860	2897
391	1865	2892
392	1870	2889
393	1875	2884
394	1880	2879
395	1885	2875
396	1890	2871
397	1895	2866
398	1899	2861
399	1905	2858
400	1909	2852
401	1914	2847
402	1919	2844
403	1924	2839
404	1929	2834
405	1934	2830
406	1939	2825
407	1944	2821
408	1949	2816
409	1954	2812
410	1958	2807
411	1963	2802
412	1968	2797
413	1972	2792
414	1977	2787
415	1982	2782
416	1987	2777
417	1991	2773
418	1996	2768
419	2001	2763
420	2005	2758
421	2011	2754
422	2016	2750
423	2021	2746
424	2026	2741
425	2031	2736
426	2035	2731
427	2040	2727
428	2045	2722
429	2049	2717
430	2054	2712
431	2059	2707
432	2063	2702
433	2068	2697
434	2073	2692
435	2077	2687
436	2082	2683
437	2087	2678
438	2091	2673
439	2096	2668
440	2101	2663
441	2105	2658
442	2110	2653
443	2115	2648
444	2119	2643
445	2124	2638
446	2129	2634
447	2134	2629
448	2138	2624
449	2143	2619
450	2148	2614
451	2152	2609
452	2157	2604
453	2162	2600
454	2166	2595
455	2171	2590
456	2175	2585
457	2180	2580
458	2185	2575
459	2189	2570
460	2195	2566
461	2200	2562
462	2205	2558
463	2210	2553
464	2214	2548
465	2219	2543
466	2224	2539
467	2230	2535
468	2235	2531
469	2240	2526
470	2246	2522
471	2250	2517
472	2255	2512
473	2260	2508
474	2265	2503
475	2269	2498
476	2274	2494
477	2280	2490
478	2284	2485
479	2289	2480
480	2295	2476
481	2299	2471
482	2304	2466
483	2310	2462
484	2315	2458
485	2319	2453
486	2325	2449
487	2329	2444
488	2334	2439
489	2339	2434
490	2344	2430
491	2349	2425
492	2354	2421
493	2359	2417
494	2364	2412
495	2369	2407
496	2375	2404
497	2381	2400
498	2385	2395
499	2391	2391
500	2396	2386
501	2400	2381
502	2405	2376
503	2410	2371
504	2415	2367
505	2420	2362
506	2425	2358
507	2429	2353
508	2434	2348
509	2439	2343
510	2443	2338
511	2448	2333
512	2453	2329
513	2458	2324
514	2463	2319
515	2467	2314
516	2473	2310
517	2478	2305
518	2483	2301
519	2488	2297
520	2493	2292
521	2498	2287
522	2503	2282
523	2507	2277
524	2512	2273
525	2516	2267
526	2521	2263
527	2526	2258
528	2530	2253
529	2535	2248
530	2540	2243
531	2544	2238
532	2549	2234
533	2554	2229
534	2559	2224
535	2564	2219
536	2570	2216
537	2575	2212
538	2580	2207
539	2585	2202
540	2590	2198
541	2595	2193
542	2600	2188
543	2605	2184
544	2610	2179
545	2615	2174
546	2619	2169
547	2624	2164
548	2628	2159
549	2633	2155
550	2638	2149
551	2642	2145
552	2648	2140
553	2652	2135
554	2657	2130
555	2662	2125
556	2667	2121
557	2671	2116
558	2676	2111
559	2681	2107
560	2686	2102
561	2692	2098
562	2696	2093
563	2701	2088
564	2706	2083
565	2711	2078
566	2716	2074
567	2721	2069
568	2725	2064
569	2731	2060
570	2735	2055
571	2740	2050
572	2745	2046
573	2751	2041
574	2756	2037
575	2761	2032
576	2765	2027
577	2770	2022
578	2775	2018
579	2780	2013
580	2785	2008
581	2790	2003
